"id","unique_id","condominium_id","account_hash","openfinance_id","payer_cnpj","environment","status","period_start","period_end","requested_at","last_checked_at","request_payload","response_payload","error_code","error_message","created_at","updated_at"
"4ce34313-e980-4bcb-a79f-49ec827fe3e7","5CREmY3CRCEv3T","dca9b76f-375f-4967-98e5-b297884ef53e","iTjqWSZ9mV","3f5a4811-9832-43eb-ae65-348dac68e803","05788043000105","staging","SUCCESS",NULL,NULL,"2026-02-04 16:11:59.743","2026-02-04 16:29:36.9","{""today"": true, ""accountHash"": ""iTjqWSZ9mV""}","{""status"": ""PROCESSING"", ""uniqueId"": ""5CREmY3CRCEv3T""}",NULL,NULL,"2026-02-04 16:11:59.744","2026-02-04 16:29:36.903"
"90861a98-10da-4817-9b1e-f2b93b8ab1ef","so5KgRBl6LMZpg","dca9b76f-375f-4967-98e5-b297884ef53e","iTjqWSZ9mV","3f5a4811-9832-43eb-ae65-348dac68e803","05788043000105","staging","SUCCESS","2025-12-01 00:00:00","2025-02-04 00:00:00","2026-02-04 22:33:17.499","2026-02-04 22:35:16.716","{""dateEnd"": ""2025-02-04"", ""dateStart"": ""2025-12-01"", ""accountHash"": ""iTjqWSZ9mV""}","{""status"": ""PROCESSING"", ""uniqueId"": ""so5KgRBl6LMZpg""}",NULL,NULL,"2026-02-04 22:33:17.503","2026-02-04 22:35:16.742"
"7c63250a-8982-438a-b5b0-e26e37b26be5","erCsvb10t3Fzxg","934042b5-b270-4f99-927f-6bdb35c8e114","Sdxh-63h2b","3da9bd03-be5a-4d30-99fe-1dada28a8b62","34377200000180","api","SUCCESS","2026-01-01 00:00:00","2026-02-02 00:00:00","2026-02-05 18:37:18.747","2026-02-05 19:14:12.705","{""dateEnd"": ""2026-02-02"", ""dateStart"": ""2026-01-01"", ""accountHash"": ""Sdxh-63h2b""}","{""status"": ""PROCESSING"", ""uniqueId"": ""erCsvb10t3Fzxg""}",NULL,NULL,"2026-02-05 18:37:18.749","2026-02-05 19:14:12.74"
"4723a8b4-8410-421a-babf-f4b3972df470","4E0jrt6e3755F2","934042b5-b270-4f99-927f-6bdb35c8e114","Sdxh-63h2b","3da9bd03-be5a-4d30-99fe-1dada28a8b62","34377200000180","staging","PROCESSING",NULL,NULL,"2026-02-06 03:00:26.817",NULL,"{""today"": true, ""accountHash"": ""Sdxh-63h2b""}","{""status"": ""PROCESSING"", ""uniqueId"": ""4E0jrt6e3755F2""}",NULL,NULL,"2026-02-06 03:00:26.822","2026-02-06 03:00:26.822"
"dddbb32d-cede-468e-a0b1-a858007a1492","O2lK0bTX1Xt5q3","934042b5-b270-4f99-927f-6bdb35c8e114","Sdxh-63h2b","3da9bd03-be5a-4d30-99fe-1dada28a8b62","34377200000180","staging","PROCESSING",NULL,NULL,"2026-02-20 21:00:06.731",NULL,"{""today"": true, ""accountHash"": ""Sdxh-63h2b""}","{""status"": ""PROCESSING"", ""uniqueId"": ""O2lK0bTX1Xt5q3""}",NULL,NULL,"2026-02-20 21:00:06.733","2026-02-20 21:00:06.733"
"6ce261ce-e20d-4713-820e-54fcb6bab51a","wdHYs5mrhIhiad","934042b5-b270-4f99-927f-6bdb35c8e114","Sdxh-63h2b","3da9bd03-be5a-4d30-99fe-1dada28a8b62","34377200000180","staging","PROCESSING",NULL,NULL,"2026-02-25 15:00:02.285",NULL,"{""today"": true, ""accountHash"": ""Sdxh-63h2b""}","{""status"": ""PROCESSING"", ""uniqueId"": ""wdHYs5mrhIhiad""}",NULL,NULL,"2026-02-25 15:00:02.287","2026-02-25 15:00:02.287"
